"","code","name","year","service","childage","childcount","servicecount","hrfee","hrstd"
"1",20601,"Brunswick - Coburg","FY201415","LDC","2: 5-9","440","26","$9.05","$0.70"
"2",20602,"Darebin - South","FY201415","LDC","2: 5-9","320","14","$9.35","$0.50"
"3",20603,"Essendon","FY201415","LDC","2: 5-9","340","16","$9.30","$0.85"
"4",20604,"Melbourne City","FY201415","LDC","2: 5-9","550","39","$10.20","$1.25"
"5",20605,"Port Phillip","FY201415","LDC","2: 5-9","510","32","$10.30","$1.85"
"6",20606,"Stonnington - West","FY201415","LDC","2: 5-9","210","15","$10.95","$1.40"
"7",20607,"Yarra","FY201415","LDC","2: 5-9","490","31","$10.20","$1.10"
"8",20701,"Boroondara","FY201415","LDC","2: 5-9","620","34","$10.70","$1.80"
"9",20702,"Manningham - West","FY201415","LDC","2: 5-9","350","27","$9.00","$0.90"
"10",20703,"Whitehorse - West","FY201415","LDC","2: 5-9","400","22","$9.50","$0.90"
"11",20801,"Bayside","FY201415","LDC","2: 5-9","390","25","$11.40","$2.00"
"12",20802,"Glen Eira","FY201415","LDC","2: 5-9","1,230","50","$10.75","$2.10"
"13",20803,"Kingston","FY201415","LDC","2: 5-9","690","40","$8.85","$1.00"
"14",20804,"Stonnington - East","FY201415","LDC","2: 5-9","150","7","$10.60","$1.05"
"15",20901,"Banyule","FY201415","LDC","2: 5-9","440","27","$10.40","$8.40"
"16",20902,"Darebin - North","FY201415","LDC","2: 5-9","350","23","$8.55","$0.80"
"17",20903,"Nillumbik - Kinglake","FY201415","LDC","2: 5-9","400","19","$8.80","$1.80"
"18",20904,"Whittlesea - Wallan","FY201415","LDC","2: 5-9","770","41","$7.75","$0.55"
"19",21001,"Keilor","FY201415","LDC","2: 5-9","280","13","$7.65","$1.05"
"20",21002,"Macedon Ranges","FY201415","LDC","2: 5-9","230","8","$7.80","$0.25"
"21",21003,"Moreland - North","FY201415","LDC","2: 5-9","170","13","$8.70","$0.60"
"22",21004,"Sunbury","FY201415","LDC","2: 5-9","200","9","$7.65","$0.40"
"23",21005,"Tullamarine - Broadmeadows","FY201415","LDC","2: 5-9","550","34","$7.80","$0.65"
"24",21101,"Knox","FY201415","LDC","2: 5-9","670","41","$8.50","$1.00"
"25",21102,"Manningham - East","FY201415","LDC","2: 5-9","70","     <5","$8.25","$0.50"
"26",21103,"Maroondah","FY201415","LDC","2: 5-9","560","31","$8.00","$0.45"
"27",21104,"Whitehorse - East","FY201415","LDC","2: 5-9","210","14","$9.05","$0.65"
"28",21105,"Yarra Ranges","FY201415","LDC","2: 5-9","590","28","$7.85","$0.65"
"29",21201,"Cardinia","FY201415","LDC","2: 5-9","850","27","$7.50","$0.80"
"30",21202,"Casey - North","FY201415","LDC","2: 5-9","600","34","$7.50","$0.75"
"31",21203,"Casey - South","FY201415","LDC","2: 5-9","1,190","46","$7.25","$0.55"
"32",21204,"Dandenong","FY201415","LDC","2: 5-9","430","36","$7.50","$1.00"
"33",21205,"Monash","FY201415","LDC","2: 5-9","620","39","$9.05","$0.90"
"34",21301,"Brimbank","FY201415","LDC","2: 5-9","730","47","$7.40","$0.65"
"35",21302,"Hobsons Bay","FY201415","LDC","2: 5-9","340","16","$9.15","$0.65"
"36",21303,"Maribyrnong","FY201415","LDC","2: 5-9","340","20","$9.40","$0.85"
"37",21304,"Melton - Bacchus Marsh","FY201415","LDC","2: 5-9","750","37","$7.50","$0.55"
"38",21305,"Wyndham","FY201415","LDC","2: 5-9","980","47","$8.40","$0.60"
"39",21401,"Frankston","FY201415","LDC","2: 5-9","660","41","$8.05","$0.70"
"40",21402,"Mornington Peninsula","FY201415","LDC","2: 5-9","620","34","$7.85","$1.05"
